Locale,QWERTY_KCM,AZERTY_KCM,QWERTZ_KCM
en_US,keyboard_qwerty_en.kcm,,
en_GB,keyboard_qwerty_en.kcm,,
en_AU,keyboard_qwerty_en.kcm,,
en_CA,keyboard_qwerty_en.kcm,,
en_IE,keyboard_qwerty_en.kcm,,
en_IN,keyboard_qwerty_en.kcm,,
en_NZ,keyboard_qwerty_en.kcm,,
en_SG,keyboard_qwerty_en.kcm,,
en_ZA,keyboard_qwerty_en.kcm,,
af,keyboard_qwerty_af.kcm,,
az_AZ,keyboard_qwerty_az.kcm,,
bs,keyboard_qwerty_bs.kcm,,
ca,keyboard_qwerty_ca.kcm,,
cy,keyboard_qwerty_cy.kcm,,
da,keyboard_qwerty_da.kcm,,
es,keyboard_qwerty_es.kcm,,
es_US,keyboard_qwerty_es_US.kcm,,
es_419,keyboard_qwerty_es_419.kcm,,
et_EE,keyboard_qwerty_et.kcm,,
eu_ES,keyboard_qwerty_eu.kcm,,
fi,keyboard_qwerty_fi.kcm,,
fil,keyboard_qwerty_fil.kcm,,
ga,keyboard_qwerty_ga.kcm,,
gl_ES,keyboard_qwerty_gl.kcm,,
in,keyboard_qwerty_in.kcm,,
is,keyboard_qwerty_is.kcm,,
it,keyboard_qwerty_it.kcm,,
nb,keyboard_qwerty_nb.kcm,,
nl,keyboard_qwerty_nl.kcm,,
pl,keyboard_qwerty_pl.kcm,,
pt_BR,keyboard_qwerty_pt_BR.kcm,,
pt_PT,keyboard_qwerty_pt_PT.kcm,,
ro,keyboard_qwerty_ro.kcm,,
sq,keyboard_qwerty_sq.kcm,,
su,keyboard_qwerty_su.kcm,,
sv,keyboard_qwerty_sv.kcm,,
tr,keyboard_qwerty_tr.kcm,,
de,,,keyboard_qwertz_de.kcm
at,,,keyboard_qwertz_at.kcm
ch-de,,,keyboard_qwertz_ch_de.kcm
cs,,,keyboard_qwertz_cs.kcm
sk,,,keyboard_qwertz_sk.kcm
hu,,,keyboard_qwertz_hu.kcm
hr,,,keyboard_qwertz_hr.kcm
sl,,,keyboard_qwertz_sl.kcm
sr,,,keyboard_qwertz_sr.kcm
fr,,keyboard_azerty_fr.kcm,
fr_CA,,keyboard_azerty_fr_CA.kcm,
ja,keyboard_qwerty_ja.kcm,keyboard_azerty_ja.kcm,keyboard_qwertz_ja.kcm
zh_CN_stroke,keyboard_qwerty_zh_stroke.kcm,keyboard_azerty_zh_stroke.kcm,keyboard_qwertz_zh_stroke.kcm
zh_TW_zhuyin,keyboard_qwerty_zh_zhuyin.kcm,keyboard_azerty_zh_zhuyin.kcm,keyboard_qwertz_zh_zhuyin.kcm
ar,keyboard_qwerty_ar.kcm,keyboard_azerty_ar.kcm,keyboard_qwertz_ar.kcm
be,keyboard_qwerty_be.kcm,keyboard_azerty_be.kcm,keyboard_qwertz_be.kcm
bg,keyboard_qwerty_bg.kcm,keyboard_azerty_bg.kcm,keyboard_qwertz_bg.kcm
ru,keyboard_qwerty_ru.kcm,keyboard_azerty_ru.kcm,keyboard_qwertz_ru.kcm
ru_translit,keyboard_qwerty_ru_translit.kcm,keyboard_azerty_ru_translit.kcm,keyboard_qwertz_ru_translit.kcm
uk,keyboard_qwerty_uk.kcm,keyboard_azerty_uk.kcm,keyboard_qwertz_uk.kcm
el,keyboard_qwerty_el.kcm,keyboard_azerty_el.kcm,keyboard_qwertz_el.kcm
iw,keyboard_qwerty_iw.kcm,keyboard_azerty_iw.kcm,keyboard_qwertz_iw.kcm
hy_AM,keyboard_qwerty_hy.kcm,keyboard_azerty_hy.kcm,keyboard_qwertz_hy.kcm
bn_IN,keyboard_qwerty_bn.kcm,keyboard_azerty_bn.kcm,keyboard_qwertz_bn.kcm
hi,keyboard_qwerty_hi.kcm,keyboard_azerty_hi.kcm,keyboard_qwertz_hi.kcm
kn_IN,keyboard_qwerty_kn.kcm,keyboard_azerty_kn.kcm,keyboard_qwertz_kn.kcm
ml_IN,keyboard_qwerty_ml.kcm,keyboard_azerty_ml.kcm,keyboard_qwertz_ml.kcm
mr_IN,keyboard_qwerty_mr.kcm,keyboard_azerty_mr.kcm,keyboard_qwertz_mr.kcm
ta_IN,keyboard_qwerty_ta.kcm,keyboard_azerty_ta.kcm,keyboard_qwertz_ta.kcm
te_IN,keyboard_qwerty_te.kcm,keyboard_azerty_te.kcm,keyboard_qwertz_te.kcm
km_KH,keyboard_qwerty_km.kcm,keyboard_azerty_km.kcm,keyboard_qwertz_km.kcm
lo_LA,keyboard_qwerty_lo.kcm,keyboard_azerty_lo.kcm,keyboard_qwertz_lo.kcm
th,keyboard_qwerty_th.kcm,keyboard_azerty_th.kcm,keyboard_qwertz_th.kcm
mn_MN,keyboard_qwerty_mn.kcm,keyboard_azerty_mn.kcm,keyboard_qwertz_mn.kcm
ms_MY,keyboard_qwerty_ms.kcm,keyboard_azerty_ms.kcm,keyboard_qwertz_ms.kcm
ro_translit,keyboard_qwerty_ro_translit.kcm,,
vi,keyboard_qwerty_vi.kcm,,keyboard_qwertz_vi.kcm
